ano;clientes_no_inicio_do_ano;total_churn_no_ano;churn_rate_anual_percentual;status_saude
2004;79;0;0.0;SAUDÁVEL
2005;361;79;21.88;CRÍTICO (Acima de 15% ano)
2006;726;162;22.31;CRÍTICO (Acima de 15% ano)
2007;1038;207;19.94;CRÍTICO (Acima de 15% ano)
2008;1372;304;22.16;CRÍTICO (Acima de 15% ano)
2009;1693;321;18.96;CRÍTICO (Acima de 15% ano)
2010;1912;319;16.68;CRÍTICO (Acima de 15% ano)
2011;2173;422;19.42;CRÍTICO (Acima de 15% ano)
2012;2644;479;18.12;CRÍTICO (Acima de 15% ano)
2013;3211;625;19.46;CRÍTICO (Acima de 15% ano)
2014;3557;704;19.79;CRÍTICO (Acima de 15% ano)
2015;3992;847;21.22;CRÍTICO (Acima de 15% ano)
2016;4315;854;19.79;CRÍTICO (Acima de 15% ano)
2017;4214;678;16.09;CRÍTICO (Acima de 15% ano)
2018;3940;663;16.83;CRÍTICO (Acima de 15% ano)
2019;3895;606;15.56;CRÍTICO (Acima de 15% ano)
2020;4049;543;13.41;ALERTA
2021;4203;692;16.46;CRÍTICO (Acima de 15% ano)
2022;5631;930;16.52;CRÍTICO (Acima de 15% ano)
2023;6074;900;14.82;ALERTA
2024;6117;860;14.06;ALERTA
2025;8825;2171;24.6;CRÍTICO (Acima de 15% ano)
2026;7718;34;0.44;SAUDÁVEL
