ano;clientes_no_inicio_do_ano;total_churn_no_ano;churn_rate_anual_percentual;status_saude;z_score
2004;79;0;0.0;SAUDÁVEL;-2.8220949328855562
2005;361;79;21.88;CRÍTICO (Acima de 15% ano);0.8332923162273008
2006;726;162;22.31;CRÍTICO (Acima de 15% ano);0.9051303654557528
2007;1038;207;19.94;CRÍTICO (Acima de 15% ano);0.5091857685454483
2008;1372;304;22.16;CRÍTICO (Acima de 15% ano);0.8800705808411767
2009;1693;321;18.96;CRÍTICO (Acima de 15% ano);0.34546184239688327
2010;1912;319;16.68;CRÍTICO (Acima de 15% ano);-0.03544688374467611
2011;2173;422;19.42;CRÍTICO (Acima de 15% ano);0.4223118485482506
2012;2644;479;18.12;CRÍTICO (Acima de 15% ano);0.2051270485552562
2013;3211;625;19.46;CRÍTICO (Acima de 15% ano);0.42899445777880413
2014;3557;704;19.79;CRÍTICO (Acima de 15% ano);0.4841259839308716
2015;3992;847;21.22;CRÍTICO (Acima de 15% ano);0.7230292639231652
2016;4315;854;19.79;CRÍTICO (Acima de 15% ano);0.4841259839308716
2017;4214;678;16.09;CRÍTICO (Acima de 15% ano);-0.1340153698953427
2018;3940;663;16.83;CRÍTICO (Acima de 15% ano);-0.010387099130100086
2019;3895;606;15.56;CRÍTICO (Acima de 15% ano);-0.22255994220017872
2020;4049;543;13.41;ALERTA;-0.5817501883424385
2021;4203;692;16.46;CRÍTICO (Acima de 15% ano);-0.0722012345127211
2022;5631;930;16.52;CRÍTICO (Acima de 15% ano);-0.06217732066689081
2023;6074;900;14.82;ALERTA;-0.3461882129654216
2024;6117;860;14.06;ALERTA;-0.47315778834594135
2025;8825;2171;24.6;CRÍTICO (Acima de 15% ano);1.2877097439049507
2026;7718;34;0.44;SAUDÁVEL;-2.748586231349466
