periodo;clientes_no_inicio_do_mes;total_churn_no_mes;churn_rate_percentual;status_saude
2015-01;4314;78;1.81;ALERTA
2015-02;4338;64;1.48;SAUDÁVEL
2015-03;4372;100;2.29;CRÍTICO (>2%)
2015-04;4374;83;1.9;ALERTA
2015-05;4385;63;1.44;SAUDÁVEL
2015-06;4429;108;2.44;CRÍTICO (>2%)
2015-07;4427;62;1.4;SAUDÁVEL
2015-08;4576;53;1.16;SAUDÁVEL
2015-09;4611;114;2.47;CRÍTICO (>2%)
2015-10;4588;85;1.85;ALERTA
2015-11;4614;72;1.56;ALERTA
2015-12;4648;66;1.42;SAUDÁVEL
2016-01;4679;57;1.22;SAUDÁVEL
2016-02;4726;93;1.97;ALERTA
2016-03;4738;81;1.71;ALERTA
2016-04;4778;85;1.78;ALERTA
2016-05;4779;84;1.76;ALERTA
2016-06;4796;80;1.67;ALERTA
2016-07;4814;87;1.81;ALERTA
2016-08;4810;90;1.87;ALERTA
2016-09;4760;59;1.24;SAUDÁVEL
2016-10;4716;82;1.74;ALERTA
2016-11;4660;80;1.72;ALERTA
2016-12;4606;70;1.52;ALERTA
2017-01;4562;81;1.78;ALERTA
2017-02;4512;40;0.89;SAUDÁVEL
2017-03;4500;79;1.76;ALERTA
2017-04;4448;54;1.21;SAUDÁVEL
2017-05;4423;83;1.88;ALERTA
2017-06;4376;51;1.17;SAUDÁVEL
2017-07;4367;75;1.72;ALERTA
2017-08;4329;75;1.73;ALERTA
2017-09;4293;59;1.37;SAUDÁVEL
2017-10;4277;49;1.15;SAUDÁVEL
2017-11;4266;39;0.91;SAUDÁVEL
2017-12;4250;57;1.34;SAUDÁVEL
2018-01;4244;72;1.7;ALERTA
2018-02;4236;43;1.02;SAUDÁVEL
2018-03;4229;72;1.7;ALERTA
2018-04;4220;45;1.07;SAUDÁVEL
2018-05;4214;68;1.61;ALERTA
2018-06;4189;58;1.38;SAUDÁVEL
2018-07;4194;73;1.74;ALERTA
2018-08;4198;61;1.45;SAUDÁVEL
2018-09;4205;78;1.85;ALERTA
2018-10;4185;53;1.27;SAUDÁVEL
2018-11;4166;48;1.15;SAUDÁVEL
2018-12;4170;44;1.06;SAUDÁVEL
2019-01;4189;47;1.12;SAUDÁVEL
2019-02;4194;54;1.29;SAUDÁVEL
2019-03;4180;50;1.2;SAUDÁVEL
2019-04;4215;57;1.35;SAUDÁVEL
2019-05;4231;42;0.99;SAUDÁVEL
2019-06;4270;61;1.43;SAUDÁVEL
2019-07;4262;64;1.5;ALERTA
2019-08;4292;60;1.4;SAUDÁVEL
2019-09;4291;55;1.28;SAUDÁVEL
2019-10;4280;55;1.29;SAUDÁVEL
2019-11;4339;42;0.97;SAUDÁVEL
2019-12;4446;37;0.83;SAUDÁVEL
2020-01;4458;45;1.01;SAUDÁVEL
2020-02;4486;37;0.82;SAUDÁVEL
2020-03;4488;53;1.18;SAUDÁVEL
2020-04;4502;68;1.51;ALERTA
2020-05;4493;41;0.91;SAUDÁVEL
2020-06;4514;35;0.78;SAUDÁVEL
2020-07;4551;42;0.92;SAUDÁVEL
2020-08;4592;48;1.05;SAUDÁVEL
2020-09;4597;36;0.78;SAUDÁVEL
2020-10;4620;31;0.67;SAUDÁVEL
2020-11;4664;43;0.92;SAUDÁVEL
2020-12;4723;73;1.55;ALERTA
2021-01;4718;35;0.74;SAUDÁVEL
2021-02;4755;54;1.14;SAUDÁVEL
2021-03;4751;51;1.07;SAUDÁVEL
2021-04;4763;47;0.99;SAUDÁVEL
2021-05;4779;92;1.93;ALERTA
2021-06;5174;41;0.79;SAUDÁVEL
2021-07;5483;51;0.93;SAUDÁVEL
2021-08;5809;52;0.9;SAUDÁVEL
2021-09;6162;60;0.97;SAUDÁVEL
2021-10;6219;60;0.96;SAUDÁVEL
2021-11;6247;88;1.41;SAUDÁVEL
2021-12;6246;96;1.54;ALERTA
2022-01;6226;77;1.24;SAUDÁVEL
2022-02;6223;71;1.14;SAUDÁVEL
2022-03;6208;94;1.51;ALERTA
2022-04;6200;112;1.81;ALERTA
2022-05;6181;115;1.86;ALERTA
2022-06;6147;50;0.81;SAUDÁVEL
2022-07;6269;70;1.12;SAUDÁVEL
2022-08;6348;142;2.24;CRÍTICO (>2%)
2022-09;6345;79;1.25;SAUDÁVEL
2022-10;6418;72;1.12;SAUDÁVEL
2022-11;6470;58;0.9;SAUDÁVEL
2022-12;6682;58;0.87;SAUDÁVEL
2023-01;6752;74;1.1;SAUDÁVEL
2023-02;6752;63;0.93;SAUDÁVEL
2023-03;6777;115;1.7;ALERTA
2023-04;6744;85;1.26;SAUDÁVEL
2023-05;6776;85;1.25;SAUDÁVEL
2023-06;6772;82;1.21;SAUDÁVEL
2023-07;6791;60;0.88;SAUDÁVEL
2023-08;6866;76;1.11;SAUDÁVEL
2023-09;6897;63;0.91;SAUDÁVEL
2023-10;6897;86;1.25;SAUDÁVEL
2023-11;6881;94;1.37;SAUDÁVEL
2023-12;6849;86;1.26;SAUDÁVEL
2024-01;6830;107;1.57;ALERTA
2024-02;6791;72;1.06;SAUDÁVEL
2024-03;6809;66;0.97;SAUDÁVEL
2024-04;6840;67;0.98;SAUDÁVEL
2024-05;6850;76;1.11;SAUDÁVEL
2024-06;6853;73;1.07;SAUDÁVEL
2024-07;6853;84;1.23;SAUDÁVEL
2024-08;6846;66;0.96;SAUDÁVEL
2024-09;6852;64;0.93;SAUDÁVEL
2024-10;6882;81;1.18;SAUDÁVEL
2024-11;6916;113;1.63;ALERTA
