periodo_semestral;clientes_inicio_semestre;total_churn_no_semestre;churn_rate_semestral_percentual;analise_saude
2015-S1;4314;496;11.5;CRÍTICO (>12%)
2015-S2;4427;452;10.21;CRÍTICO (>12%)
2016-S1;4679;480;10.26;CRÍTICO (>12%)
2016-S2;4814;468;9.72;ALERTA
2017-S1;4562;388;8.51;ALERTA
2017-S2;4367;354;8.11;ALERTA
2018-S1;4244;358;8.44;ALERTA
2018-S2;4194;357;8.51;ALERTA
2019-S1;4189;311;7.42;DENTRO DA META
2019-S2;4262;313;7.34;DENTRO DA META
2020-S1;4458;279;6.26;DENTRO DA META
2020-S2;4551;273;6.0;DENTRO DA META
2021-S1;4718;320;6.78;DENTRO DA META
2021-S2;5483;407;7.42;DENTRO DA META
2022-S1;6226;519;8.34;ALERTA
2022-S2;6269;479;7.64;ALERTA
2023-S1;6752;504;7.46;DENTRO DA META
2023-S2;6791;465;6.85;DENTRO DA META
2024-S1;6830;461;6.75;DENTRO DA META
2024-S2;6853;492;7.18;DENTRO DA META
2025-S1;9581;870;9.08;ALERTA
2025-S2;9428;1326;14.06;CRÍTICO (>12%)
