periodo;total_clientes_inicio;churn;churn_rate
2015-Q1;4314;242;5.61
2015-Q2;4374;254;5.81
2015-Q3;4427;229;5.17
2015-Q4;4588;223;4.86
2016-Q1;4679;231;4.94
2016-Q2;4778;249;5.21
2016-Q3;4814;236;4.9
2016-Q4;4716;232;4.92
2017-Q1;4562;200;4.38
2017-Q2;4448;188;4.23
2017-Q3;4367;209;4.79
2017-Q4;4277;145;3.39
2018-Q1;4244;187;4.41
2018-Q2;4220;171;4.05
2018-Q3;4194;212;5.05
2018-Q4;4185;145;3.46
2019-Q1;4189;151;3.6
2019-Q2;4215;160;3.8
2019-Q3;4262;179;4.2
2019-Q4;4280;134;3.13
2020-Q1;4458;135;3.03
2020-Q2;4502;144;3.2
2020-Q3;4551;126;2.77
2020-Q4;4620;147;3.18
2021-Q1;4718;140;2.97
2021-Q2;4763;180;3.78
2021-Q3;5483;163;2.97
2021-Q4;6219;244;3.92
2022-Q1;6226;242;3.89
2022-Q2;6200;277;4.47
2022-Q3;6269;291;4.64
2022-Q4;6418;188;2.93
2023-Q1;6752;252;3.73
2023-Q2;6744;252;3.74
2023-Q3;6791;199;2.93
2023-Q4;6897;266;3.86
2024-Q1;6830;245;3.59
2024-Q2;6840;216;3.16
2024-Q3;6853;214;3.12
2024-Q4;6882;278;4.04
2025-Q1;9581;370;3.86
2025-Q2;9634;500;5.19
2025-Q3;9428;605;6.42
2025-Q4;9065;721;7.95
