"periodo","clientes_no_inicio_do_mes","total_churn_no_mes","churn_rate_percentual","status_saude"
"2003-07",6,0,0.00,SAUDÁVEL
"2003-08",13,0,0.00,SAUDÁVEL
"2003-09",22,0,0.00,SAUDÁVEL
"2003-10",34,0,0.00,SAUDÁVEL
"2003-11",51,1,1.96,ALERTA
"2003-12",60,0,0.00,SAUDÁVEL
"2004-01",79,0,0.00,SAUDÁVEL
"2004-02",103,0,0.00,SAUDÁVEL
"2004-03",118,0,0.00,SAUDÁVEL
"2004-04",135,0,0.00,SAUDÁVEL
"2004-05",150,0,0.00,SAUDÁVEL
"2004-06",172,0,0.00,SAUDÁVEL
"2004-07",207,0,0.00,SAUDÁVEL
"2004-08",236,0,0.00,SAUDÁVEL
"2004-09",258,0,0.00,SAUDÁVEL
"2004-10",280,0,0.00,SAUDÁVEL
"2004-11",304,0,0.00,SAUDÁVEL
"2004-12",330,0,0.00,SAUDÁVEL
"2005-01",361,5,1.39,SAUDÁVEL
"2005-02",401,0,0.00,SAUDÁVEL
"2005-03",435,0,0.00,SAUDÁVEL
"2005-04",468,0,0.00,SAUDÁVEL
"2005-05",492,2,0.41,SAUDÁVEL
"2005-06",529,9,1.70,ALERTA
"2005-07",551,21,3.81,CRÍTICO (>2%)
"2005-08",561,4,0.71,SAUDÁVEL
"2005-09",599,6,1.00,SAUDÁVEL
"2005-10",645,14,2.17,CRÍTICO (>2%)
"2005-11",688,9,1.31,SAUDÁVEL
"2005-12",702,9,1.28,SAUDÁVEL
"2006-01",723,11,1.52,ALERTA
"2006-02",770,13,1.69,ALERTA
"2006-03",790,11,1.39,SAUDÁVEL
"2006-04",823,5,0.61,SAUDÁVEL
"2006-05",853,14,1.64,ALERTA
"2006-06",896,22,2.46,CRÍTICO (>2%)
"2006-07",903,12,1.33,SAUDÁVEL
"2006-08",947,23,2.43,CRÍTICO (>2%)
"2006-09",960,21,2.19,CRÍTICO (>2%)
"2006-10",967,7,0.72,SAUDÁVEL
"2006-11",988,17,1.72,ALERTA
"2006-12",997,5,0.50,SAUDÁVEL
"2007-01",1034,15,1.45,SAUDÁVEL
"2007-02",1049,6,0.57,SAUDÁVEL
"2007-03",1078,27,2.50,CRÍTICO (>2%)
"2007-04",1071,12,1.12,SAUDÁVEL
"2007-05",1100,27,2.45,CRÍTICO (>2%)
"2007-06",1114,20,1.80,ALERTA
"2007-07",1134,12,1.06,SAUDÁVEL
"2007-08",1176,13,1.11,SAUDÁVEL
"2007-09",1218,7,0.57,SAUDÁVEL
"2007-10",1240,25,2.02,CRÍTICO (>2%)
"2007-11",1263,15,1.19,SAUDÁVEL
"2007-12",1297,23,1.77,ALERTA
"2008-01",1314,25,1.90,ALERTA
"2008-02",1348,11,0.82,SAUDÁVEL
"2008-03",1385,19,1.37,SAUDÁVEL
"2008-04",1410,20,1.42,SAUDÁVEL
"2008-05",1435,20,1.39,SAUDÁVEL
"2008-06",1462,20,1.37,SAUDÁVEL
"2008-07",1478,45,3.04,CRÍTICO (>2%)
"2008-08",1496,27,1.80,ALERTA
"2008-09",1521,20,1.31,SAUDÁVEL
"2008-10",1561,23,1.47,SAUDÁVEL
"2008-11",1578,18,1.14,SAUDÁVEL
"2008-12",1590,31,1.95,ALERTA
"2009-01",1598,30,1.88,ALERTA
"2009-02",1608,32,1.99,ALERTA
"2009-03",1607,26,1.62,ALERTA
"2009-04",1620,21,1.30,SAUDÁVEL
"2009-05",1629,19,1.17,SAUDÁVEL
"2009-06",1652,31,1.88,ALERTA
"2009-07",1653,24,1.45,SAUDÁVEL
"2009-08",1687,20,1.19,SAUDÁVEL
"2009-09",1727,26,1.51,ALERTA
"2009-10",1741,24,1.38,SAUDÁVEL
"2009-11",1752,25,1.43,SAUDÁVEL
"2009-12",1766,26,1.47,SAUDÁVEL
"2010-01",1778,29,1.63,ALERTA
"2010-02",1776,18,1.01,SAUDÁVEL
"2010-03",1797,22,1.22,SAUDÁVEL
"2010-04",1808,22,1.22,SAUDÁVEL
"2010-05",1836,16,0.87,SAUDÁVEL
"2010-06",1853,21,1.13,SAUDÁVEL
"2010-07",1856,38,2.05,CRÍTICO (>2%)
"2010-08",1871,23,1.23,SAUDÁVEL
"2010-09",1872,19,1.01,SAUDÁVEL
"2010-10",1906,21,1.10,SAUDÁVEL
"2010-11",1922,29,1.51,ALERTA
"2010-12",1915,22,1.15,SAUDÁVEL
"2011-01",1936,23,1.19,SAUDÁVEL
"2011-02",1946,25,1.28,SAUDÁVEL
"2011-03",1957,28,1.43,SAUDÁVEL
"2011-04",1971,19,0.96,SAUDÁVEL
"2011-05",1990,48,2.41,CRÍTICO (>2%)
"2011-06",1996,25,1.25,SAUDÁVEL
"2011-07",2027,15,0.74,SAUDÁVEL
"2011-08",2111,27,1.28,SAUDÁVEL
"2011-09",2143,32,1.49,SAUDÁVEL
"2011-10",2174,39,1.79,ALERTA
"2011-11",2210,29,1.31,SAUDÁVEL
"2011-12",2252,23,1.02,SAUDÁVEL
"2012-01",2267,41,1.81,ALERTA
"2012-02",2285,30,1.31,SAUDÁVEL
"2012-03",2300,42,1.83,ALERTA
"2012-04",2290,17,0.74,SAUDÁVEL
"2012-05",2320,41,1.77,ALERTA
"2012-06",2330,26,1.12,SAUDÁVEL
"2012-07",2367,25,1.06,SAUDÁVEL
"2012-08",2479,17,0.69,SAUDÁVEL
"2012-09",2505,30,1.20,SAUDÁVEL
"2012-10",2521,36,1.43,SAUDÁVEL
"2012-11",2531,37,1.46,SAUDÁVEL
"2012-12",2593,29,1.12,SAUDÁVEL
"2013-01",2616,51,1.95,ALERTA
"2013-02",2627,27,1.03,SAUDÁVEL
"2013-03",2654,32,1.21,SAUDÁVEL
"2013-04",2672,33,1.24,SAUDÁVEL
"2013-05",2696,51,1.89,ALERTA
